date,plot,plant_id,raceme_id,raceme_length,budding,mature,post_flowering,missing,fruiting,code,notes,notes2,finished,pollination_plant,previously.finished
02-Jul,OTC1,1,6,5.5,0,0,14,10,6,none,,NA,TRUE,FALSE,TRUE
12-Jul,OTC1,1,6,5.5,0,0,14,10,6,none,,NA,TRUE,FALSE,TRUE
21-Jul,OTC1,1,6,5.5,0,0,14,10,6,none,,NA,TRUE,FALSE,TRUE
01-Aug,OTC1,1,6,5.5,0,0,14,10,6,none,,NA,TRUE,FALSE,TRUE
02-Jul,OTC1,1,7,7.5,0,0,0,8,10,none,,NA,TRUE,FALSE,TRUE
12-Jul,OTC1,1,7,7.5,0,0,0,8,10,none,,NA,TRUE,FALSE,TRUE
21-Jul,OTC1,1,7,7.5,0,0,0,8,10,none,,NA,TRUE,FALSE,TRUE
01-Aug,OTC1,1,7,7.5,0,0,0,8,10,none,,NA,TRUE,FALSE,TRUE
02-Jul,OTC2,1,1,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC2,1,1,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC2,1,1,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC2,1,1,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
02-Jul,OTC2,1,2,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC2,1,2,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC2,1,2,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC2,1,2,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
02-Jul,OTC2,1,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC2,1,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC2,1,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC2,1,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
02-Jul,OTC2,1,4,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC2,1,4,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC2,1,4,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC2,1,4,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
02-Jul,OTC2,2,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC2,2,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC2,2,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC2,2,3,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
02-Jul,OTC2,2,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC2,2,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC2,2,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC2,2,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
02-Jul,OTC2,2,7,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC2,2,7,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC2,2,7,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC2,2,7,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
02-Jul,OTC2,2,8,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC2,2,8,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC2,2,8,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC2,2,8,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
02-Jul,OTC2,2,10,4,0,0,4,23,0,none,,NA,TRUE,FALSE,TRUE
12-Jul,OTC2,2,10,4,0,0,4,23,0,none,,NA,TRUE,FALSE,TRUE
21-Jul,OTC2,2,10,4,0,0,4,23,0,none,,NA,TRUE,FALSE,TRUE
01-Aug,OTC2,2,10,4,0,0,4,23,0,none,,NA,TRUE,FALSE,TRUE
02-Jul,OTC4,1,4,0.5,0,0,1,3,0,none,,NA,TRUE,FALSE,TRUE
12-Jul,OTC4,1,4,0.5,0,0,1,3,0,none,,NA,TRUE,FALSE,TRUE
21-Jul,OTC4,1,4,0.5,0,0,1,3,0,none,,NA,TRUE,FALSE,TRUE
01-Aug,OTC4,1,4,0.5,0,0,1,3,0,none,,NA,TRUE,FALSE,TRUE
02-Jul,OTC6,3,4,6.5,0,0,0,39,0,none,,NA,TRUE,FALSE,TRUE
12-Jul,OTC6,3,4,6.5,0,0,0,39,0,none,,NA,TRUE,FALSE,TRUE
21-Jul,OTC6,3,4,6.5,0,0,0,39,0,none,,NA,TRUE,FALSE,TRUE
01-Aug,OTC6,3,4,6.5,0,0,0,39,0,none,,NA,TRUE,FALSE,TRUE
02-Jul,OTC6,3,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC6,3,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC6,3,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC6,3,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
02-Jul,OTC6,3,7,1.5,0,0,0,12,0,none,,NA,TRUE,FALSE,TRUE
12-Jul,OTC6,3,7,1.5,0,0,0,12,0,none,,NA,TRUE,FALSE,TRUE
21-Jul,OTC6,3,7,1.5,0,0,0,12,0,none,,NA,TRUE,FALSE,TRUE
01-Aug,OTC6,3,7,1.5,0,0,0,12,0,none,,NA,TRUE,FALSE,TRUE
02-Jul,OTC6,2,10,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC6,2,10,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC6,2,10,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC6,2,10,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
02-Jul,OTC7,3,3,4,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,OTC7,3,3,4,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
21-Jul,OTC7,3,3,4,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
01-Aug,OTC7,3,3,4,NA,NA,NA,NA,NA,abr,Aborted Raceme,NA,TRUE,FALSE,TRUE
12-Jul,CON7,2,3,11,0,0,1,23,1,none,,,TRUE,TRUE,TRUE
21-Jul,CON7,2,3,11,0,0,1,23,1,none,,,TRUE,TRUE,TRUE
01-Aug,CON7,2,3,11,0,0,1,23,1,none,,,TRUE,TRUE,TRUE
12-Jul,CON7,2,4,9.5,0,0,0,19,1,none,,,TRUE,TRUE,TRUE
21-Jul,CON7,2,4,9.5,0,0,0,19,1,none,,,TRUE,TRUE,TRUE
01-Aug,CON7,2,4,9.5,0,0,0,19,1,none,,,TRUE,TRUE,TRUE
12-Jul,CON7,2,5,1,0,0,0,6,0,abr,Aborted Tip,,TRUE,TRUE,TRUE
21-Jul,CON7,2,5,1,0,0,0,6,0,abr,Aborted Tip,,TRUE,TRUE,TRUE
01-Aug,CON7,2,5,1,0,0,0,6,0,abr,Aborted Tip,,TRUE,TRUE,TRUE
12-Jul,CON7,2,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
21-Jul,CON7,2,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
01-Aug,CON7,2,6,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
12-Jul,CON7,2,7,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
21-Jul,CON7,2,7,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
01-Aug,CON7,2,7,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
12-Jul,CON7,2,8,NA,NA,NA,NA,NA,NA,abr,Aborted Raceme,,TRUE,TRUE,TRUE
