"Plot Title: OTC-7"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10162900, SEN S/N: 10162900, LBL: ground temperature)","Host Connected (LGR S/N: 10162900)","Coupler Attached (LGR S/N: 10162900)","Stopped (LGR S/N: 10162900)","End Of File (LGR S/N: 10162900)"
286,06/13/23 10:30:00  PM,6.573,,,,
287,06/13/23 11:00:00  PM,6.064,,,,
288,06/13/23 11:30:00  PM,5.552,,,,
289,06/14/23 12:00:00  AM,4.311,,,,
290,06/14/23 12:30:00  AM,4.207,,,,
291,06/14/23 01:00:00  AM,5.141,,,,
292,06/14/23 01:30:00  AM,5.347,,,,
293,06/14/23 02:00:00  AM,5.450,,,,
294,06/14/23 02:30:00  AM,5.347,,,,
295,06/14/23 03:00:00  AM,5.037,,,,
296,06/14/23 03:30:00  AM,4.623,,,,
297,06/14/23 04:00:00  AM,4.831,,,,
298,06/14/23 04:30:00  AM,4.934,,,,
299,06/14/23 05:00:00  AM,5.037,,,,
300,06/14/23 05:30:00  AM,5.244,,,,
301,06/14/23 06:00:00  AM,5.347,,,,
302,06/14/23 06:30:00  AM,5.655,,,,
303,06/14/23 07:00:00  AM,6.573,,,,
304,06/14/23 07:30:00  AM,6.573,,,,
305,06/14/23 08:00:00  AM,6.674,,,,
306,06/14/23 08:30:00  AM,8.182,,,,
307,06/14/23 09:00:00  AM,8.382,,,,
308,06/14/23 09:30:00  AM,11.431,,,,
309,06/14/23 10:00:00  AM,11.625,,,,
310,06/14/23 10:30:00  AM,14.134,,,,
311,06/14/23 11:00:00  AM,20.424,,,,
312,06/14/23 11:30:00  AM,21.569,,,,
313,06/14/23 12:00:00  PM,15.091,,,,
314,06/14/23 12:30:00  PM,32.600,,,,
315,06/14/23 01:00:00  PM,20.805,,,,
316,06/14/23 01:30:00  PM,17.570,,,,
317,06/14/23 02:00:00  PM,16.903,,,,
318,06/14/23 02:30:00  PM,17.475,,,,
319,06/14/23 03:00:00  PM,19.092,,,,
320,06/14/23 03:30:00  PM,16.141,,,,
321,06/14/23 04:00:00  PM,19.092,,,,
322,06/14/23 04:30:00  PM,15.473,,,,
323,06/14/23 05:00:00  PM,14.804,,,,
324,06/14/23 05:30:00  PM,15.091,,,,
325,06/14/23 06:00:00  PM,11.722,,,,
326,06/14/23 06:30:00  PM,10.846,,,,
327,06/14/23 07:00:00  PM,11.528,,,,
328,06/14/23 07:30:00  PM,11.528,,,,
329,06/14/23 08:00:00  PM,9.866,,,,
330,06/14/23 08:30:00  PM,9.176,,,,
331,06/14/23 09:00:00  PM,7.983,,,,
332,06/14/23 09:30:00  PM,7.381,,,,
333,06/14/23 10:00:00  PM,6.978,,,,
334,06/14/23 10:30:00  PM,7.079,,,,
335,06/14/23 11:00:00  PM,6.978,,,,
336,06/14/23 11:30:00  PM,6.978,,,,
337,06/15/23 12:00:00  AM,6.877,,,,
338,06/15/23 12:30:00  AM,6.877,,,,
339,06/15/23 01:00:00  AM,6.775,,,,
340,06/15/23 01:30:00  AM,6.775,,,,
341,06/15/23 02:00:00  AM,6.775,,,,
342,06/15/23 02:30:00  AM,6.166,,,,
343,06/15/23 03:00:00  AM,6.268,,,,
344,06/15/23 03:30:00  AM,5.860,,,,
345,06/15/23 04:00:00  AM,5.552,,,,
346,06/15/23 04:30:00  AM,5.037,,,,
347,06/15/23 05:00:00  AM,5.244,,,,
348,06/15/23 05:30:00  AM,6.064,,,,
