"Plot Title: CON-3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10162813, SEN S/N: 10162813, LBL: ground temperature)","Host Connected (LGR S/N: 10162813)","Coupler Attached (LGR S/N: 10162813)","Stopped (LGR S/N: 10162813)","End Of File (LGR S/N: 10162813)"
176,06/11/23 03:30:00  PM,18.711,,,,
177,06/11/23 04:00:00  PM,20.234,,,,
178,06/11/23 04:30:00  PM,18.140,,,,
179,06/11/23 05:00:00  PM,16.903,,,,
180,06/11/23 05:30:00  PM,16.999,,,,
181,06/11/23 06:00:00  PM,17.950,,,,
182,06/11/23 06:30:00  PM,17.950,,,,
183,06/11/23 07:00:00  PM,16.903,,,,
184,06/11/23 07:30:00  PM,15.282,,,,
185,06/11/23 08:00:00  PM,15.091,,,,
186,06/11/23 08:30:00  PM,14.134,,,,
187,06/11/23 09:00:00  PM,13.173,,,,
188,06/11/23 09:30:00  PM,12.980,,,,
189,06/11/23 10:00:00  PM,11.916,,,,
190,06/11/23 10:30:00  PM,11.041,,,,
191,06/11/23 11:00:00  PM,10.357,,,,
192,06/11/23 11:30:00  PM,9.669,,,,
193,06/12/23 12:00:00  AM,9.275,,,,
194,06/12/23 12:30:00  AM,8.581,,,,
195,06/12/23 01:00:00  AM,8.182,,,,
196,06/12/23 01:30:00  AM,7.782,,,,
197,06/12/23 02:00:00  AM,7.280,,,,
198,06/12/23 02:30:00  AM,6.775,,,,
199,06/12/23 03:00:00  AM,6.268,,,,
200,06/12/23 03:30:00  AM,5.962,,,,
201,06/12/23 04:00:00  AM,6.370,,,,
202,06/12/23 04:30:00  AM,6.674,,,,
203,06/12/23 05:00:00  AM,6.268,,,,
204,06/12/23 05:30:00  AM,5.962,,,,
205,06/12/23 06:00:00  AM,5.655,,,,
206,06/12/23 06:30:00  AM,5.860,,,,
207,06/12/23 07:00:00  AM,7.381,,,,
208,06/12/23 07:30:00  AM,8.680,,,,
209,06/12/23 08:00:00  AM,10.259,,,,
210,06/12/23 08:30:00  AM,15.091,,,,
211,06/12/23 09:00:00  AM,26.977,,,,
212,06/12/23 09:30:00  AM,35.971,,,,
213,06/12/23 10:00:00  AM,37.604,,,,
214,06/12/23 10:30:00  AM,31.370,,,,
215,06/12/23 11:00:00  AM,30.558,,,,
216,06/12/23 11:30:00  AM,29.752,,,,
217,06/12/23 12:00:00  PM,23.292,,,,
218,06/12/23 12:30:00  PM,24.255,,,,
219,06/12/23 01:00:00  PM,39.276,,,,
220,06/12/23 01:30:00  PM,26.683,,,,
221,06/12/23 02:00:00  PM,23.966,,,,
222,06/12/23 02:30:00  PM,25.222,,,,
223,06/12/23 03:00:00  PM,25.222,,,,
224,06/12/23 03:30:00  PM,28.060,,,,
225,06/12/23 04:00:00  PM,27.468,,,,
226,06/12/23 04:30:00  PM,26.585,,,,
227,06/12/23 05:00:00  PM,25.805,,,,
228,06/12/23 05:30:00  PM,24.255,,,,
229,06/12/23 06:00:00  PM,24.448,,,,
230,06/12/23 06:30:00  PM,23.581,,,,
231,06/12/23 07:00:00  PM,21.951,,,,
232,06/12/23 07:30:00  PM,21.760,,,,
233,06/12/23 08:00:00  PM,20.519,,,,
234,06/12/23 08:30:00  PM,19.282,,,,
235,06/12/23 09:00:00  PM,17.665,,,,
236,06/12/23 09:30:00  PM,15.569,,,,
237,06/12/23 10:00:00  PM,14.517,,,,
238,06/12/23 10:30:00  PM,13.846,,,,
239,06/12/23 11:00:00  PM,13.269,,,,
240,06/12/23 11:30:00  PM,12.883,,,,
241,06/13/23 12:00:00  AM,12.304,,,,
242,06/13/23 12:30:00  AM,11.722,,,,
243,06/13/23 01:00:00  AM,11.139,,,,
244,06/13/23 01:30:00  AM,10.651,,,,
245,06/13/23 02:00:00  AM,10.357,,,,
246,06/13/23 02:30:00  AM,10.161,,,,
247,06/13/23 03:00:00  AM,9.571,,,,
248,06/13/23 03:30:00  AM,9.373,,,,
249,06/13/23 04:00:00  AM,9.176,,,,
250,06/13/23 04:30:00  AM,8.680,,,,
251,06/13/23 05:00:00  AM,8.779,,,,
252,06/13/23 05:30:00  AM,9.077,,,,
253,06/13/23 06:00:00  AM,9.373,,,,
254,06/13/23 06:30:00  AM,9.472,,,,
255,06/13/23 07:00:00  AM,9.571,,,,
256,06/13/23 07:30:00  AM,11.625,,,,
257,06/13/23 08:00:00  AM,14.134,,,,
258,06/13/23 08:30:00  AM,17.284,,,,
259,06/13/23 09:00:00  AM,22.238,,,,
260,06/13/23 09:30:00  AM,24.545,,,,
261,06/13/23 10:00:00  AM,26.879,,,,
262,06/13/23 10:30:00  AM,28.655,,,,
263,06/13/23 11:00:00  AM,24.351,,,,
264,06/13/23 11:30:00  AM,21.760,,,,
265,06/13/23 12:00:00  PM,21.378,,,,
266,06/13/23 12:30:00  PM,22.046,,,,
267,06/13/23 01:00:00  PM,23.004,,,,
268,06/13/23 01:30:00  PM,23.004,,,,
269,06/13/23 02:00:00  PM,22.908,,,,
270,06/13/23 02:30:00  PM,20.329,,,,
271,06/13/23 03:00:00  PM,16.808,,,,
272,06/13/23 03:30:00  PM,16.713,,,,
273,06/13/23 04:00:00  PM,14.230,,,,
