"Plot Title: CON-4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163053, SEN S/N: 10163053, LBL: ground temp)","Good Battery (LGR S/N: 10163053)","Coupler Attached (LGR S/N: 10163053)","Host Connected (LGR S/N: 10163053)","Stopped (LGR S/N: 10163053)","End Of File (LGR S/N: 10163053)"
165,06/11/23 10:00:00  AM,13.846,,,,,
166,06/11/23 10:30:00  AM,14.325,,,,,
167,06/11/23 11:00:00  AM,14.517,,,,,
168,06/11/23 11:30:00  AM,14.421,,,,,
169,06/11/23 12:00:00  PM,14.421,,,,,
170,06/11/23 12:30:00  PM,15.378,,,,,
171,06/11/23 01:00:00  PM,16.141,,,,,
172,06/11/23 01:30:00  PM,16.332,,,,,
173,06/11/23 02:00:00  PM,18.616,,,,,
174,06/11/23 02:30:00  PM,18.045,,,,,
175,06/11/23 03:00:00  PM,19.472,,,,,
176,06/11/23 03:30:00  PM,25.222,,,,,
177,06/11/23 04:00:00  PM,19.187,,,,,
178,06/11/23 04:30:00  PM,18.331,,,,,
179,06/11/23 05:00:00  PM,17.475,,,,,
180,06/11/23 05:30:00  PM,17.094,,,,,
181,06/11/23 06:00:00  PM,18.140,,,,,
182,06/11/23 06:30:00  PM,18.140,,,,,
183,06/11/23 07:00:00  PM,17.094,,,,,
184,06/11/23 07:30:00  PM,15.664,,,,,
185,06/11/23 08:00:00  PM,15.282,,,,,
186,06/11/23 08:30:00  PM,14.325,,,,,
187,06/11/23 09:00:00  PM,13.365,,,,,
188,06/11/23 09:30:00  PM,13.076,,,,,
189,06/11/23 10:00:00  PM,12.013,,,,,
190,06/11/23 10:30:00  PM,11.139,,,,,
191,06/11/23 11:00:00  PM,10.259,,,,,
192,06/11/23 11:30:00  PM,9.768,,,,,
193,06/12/23 12:00:00  AM,9.373,,,,,
194,06/12/23 12:30:00  AM,8.779,,,,,
195,06/12/23 01:00:00  AM,8.282,,,,,
196,06/12/23 01:30:00  AM,7.882,,,,,
197,06/12/23 02:00:00  AM,7.481,,,,,
198,06/12/23 02:30:00  AM,7.079,,,,,
199,06/12/23 03:00:00  AM,6.471,,,,,
